"yquancheng" "ysuoxie"
"St. John Fisher College" "SJFC"
"San Jose State University" "SJSU"
"Saint Joseph's University" "SJU"
"Saint Louis University" "SLU"
"St. Mary's College (CA)" "SMC"
"Southern Methodist University" "SMU"
"Southern New Hampshire University" "SNHU"
"Southeastern Oklahoma State University" "SOSU"
"Seattle Pacific University" "SPU"
"Slippery Rock University of Pennsylvania" "SRU"
"California State University" "Stan State"
"California State University" "Stanislaus State"
"any of various state universities=" "State"
"Southern University" "SU"
"State University of Iowa" "SUI"
"Southern Utah University" "SUU"
"State University of New York" "SUNY"
"Southwestern Oklahoma State University" "SWOSU"
"Texas A&M University" "TAMU"
"Texas A&M University–Corpus Christi" "TAMUCC"
"The College of New Jersey" "TCNJ"
"Texas Christian University" "TCU"
"Tennessee State University" "TSU"
"Texas Tech University" "TTU"
"Tulane University" "TU"
"Texas State University–San Marcos" "TxSt"
"University of Utah" "The U"
"University of Arizona" "UArizona"
"University of Arizona" "U Arizona"
"University of Arizona" "U of A"
"University of Utah" "U of U"
"University of Alaska Anchorage" "UAA"
"University of Alabama at Birmingham" "UAB"
"University of Alaska Fairbanks" "UAF"
"University of Alabama in Huntsville" "UAH"
"University of Arkansas at Little Rock" "UALR"
"University of Arkansas at Monticello" "UAM"
"University of Arkansas at Pine Bluff" "UAPB"
"University of Chicago" "UChicago"
"University of Chicago" "U Chicago"
"University of Chicago" "Chicago"
"University of Chicago" "U of C"
"University of Chicago" "UC"
"University of Colorado Boulder" "UCB"
"University of Colorado Boulder" "CU-Boulder"
"University of California" "UCBerkeley"
"University of California" "UCDavis"
"University of California" "UC Davis"
"University of California" "UCIrvine"
"University of California" "Berkeley"
"University of California" "UC Berkeley"
"University of California" "UCI"
"University of California" "UC Irvine"
"University of California" "Cal"
"University of California" "UCD"
"University of California" "UCLA"
"University of California" "UCR"
"University of California" "UCSB"
"University of California" "UCSD"
"University of California" "UCSF"
"University of California" "UCSC"
"University of California" "UC Santa Cruz"
"University of Central Arkansas" "UCA"
"University of Colorado Colorado Springs" "UCCS"
"University of Central Florida" "UCF"
"University of Central Missouri" "UCM"
"University of Central Oklahoma" "UCO"
"University of Connecticut" "UConn"
"University of Delaware" "UD"
"University of Detroit Mercy" "UDM"
"University of the District of Columbia" "UDC"
"Columbia University" "Columbia"
"Columbia University" "Columbia U"
"Columbia University" "哥大"
"Columbia University" "Columbia University"
"University of Washington" "U Dub"
"University of Washington" "UW"
"University of Washington" "UWashington"
"University of Washington, Seattle" "UW Seattle"
"University of Washington, Seattle" "UW-Seattle"
"University of Florida" "UFL"
"University of Georgia" "UGA"
"University of Houston" "UH"
"University of Houston" "U of H"
"University of Houston–Clear Lake" "UHCL"
"University of Houston–Downtown" "UHD"
"University of Houston System" "UHS"
"University of Houston–Victoria" "UHV"
"University of Idaho" "UI"
"University of Idaho" "U of I"
"University of Illinois at Chicago" "UIC"
"University of Illinois at Urbana-Champaign" "UIUC"
"University of Kentucky" "UK"
"University of Louisiana at Monroe" "ULM"
"University of Louisiana (at Lafayette)" "UL"
"University of Louisville" "U of L"
"University of Minnesota" "U of M"
"University of Massachusetts Amherst" "UMass"
"University of Massachusetts Amherst" "UMass Amherst"
"University of Massachusetts Boston" "UMB"
"University of Maryland" "UMBC"
"University of Missouri–Columbia" "UMC"
"University of Massachusetts Dartmouth" "UMD"
"University of Missouri–Kansas City" "UMKC"
"University of Massachusetts Lowell" "UML"
"University of Maine at Orono" "UMO"
"University of Mary Washington" "UMW"
"University of North Alabama" "UNA"
"University of Northern Colorado" "UNC"
"University of North Carolina at Charlotte" "UNCC"
"University of North Carolina at Greensboro" "UNCG"
"University of North Carolina at Wilmington" "UNCW"
"University of North Dakota" "UND"
"University of North Florida" "UNF"
"University of New Hampshire" "UNH"
"University of Northern Iowa (was Iowa Teachers)" "UNI"
"University of Nebraska at Kearney" "UNK"
"University of Nebraska–Lincoln" "UNL"
"University of Nevada" "UNLV"
"University of New Mexico" "UNM"
"University of New Orleans" "UNO"
"University of Nevada" "UNR"
"University of North Texas" "UNT"
"University of Oregon" "UO"
"University of the Pacific" "UOP"
"University of Portland" "UP"
"University of Pennsylvania" "UPenn"
"University of Pennsylvania" "U penn"
"University of Puerto Rico at Mayagüez" "UPRM"
"University of Rochester" "U of R"
"University of Rochester" "UR"
"University of Rochester" "Rochester"
"University of Rochester" "U of Rochester"
"University of Rhode Island" "URI"
"University of Scranton" "U of S"
"University of South Alabama" "USA"
"United States Air Force Academy" "USAFA"
"University of Science and Arts of Oklahoma" "USAO"
"University of Southern California" "USC"
"University of South Carolina Aiken" "USCA"
"University of San Diego" "USD"
"University of San Francisco" "USF"
"University of San Francisco" "USFCA"
"University of Southern Indiana" "USI"
"The University of Southern Mississippi" "USM"
"Utah State University" "USU"
"University of Tennessee" "UT"
"University of Texas at Arlington" "UTA"
"University of Utah" "Utah"
"University of Texas at Brownsville and Texas Southmost College" "UTB/TSC"
"University of Tennessee at Chattanooga" "UTC"
"University of Texas at Dallas" "UTD"
"University of Texas at El Paso (was Texas Western)" "UTEP"
"University of Tennessee at Martin" "UTM"
"University of Texas of the Permian Basin" "UTPB"
"University of Texas at San Antonio" "UTSA"
"University of Virginia" "UVA"
"University of Vermont" "UVM"
"Utah Valley University" "UVU"
"University of West Florida" "UWF"
"University of West Georgia" "UWG"
"University of Wisconsin–Green Bay" "UWGB"
"University of Wisconsin–Milwaukee" "UWM"
"Valparaiso University" "Valpo"
"Vanderbilt University" "Vandy"
"Virginia Commonwealth University" "VCU"
"Virginia Polytechnic Institute and State University" "Virginia Tech"
"Virginia Military Institute" "VMI"
"Virginia Polytechnic Institute and State University " "VPI"
"Virginia State University" "VSU"
"Virginia Polytechnic Institute and State University" "VT"
"Vermont Technical College" "VTC"
"Valparaiso University" "VU"
"Washington & Jefferson College" "W&J"
"Washington and Lee University" "W&L"
"The College of William & Mary" "W&M"
"Washington University in St. Louis" "WUSTL"
"Washington University in St. Louis" "Wash U"
"Washington State University" "Wazzu"
"Washington State University" "WSU"
"Wagner College" "WC"
"Western Carolina University" "WCU"
"U.S. Military Academy" "West Point"
"Western Washington University" "Western"
"Wake Forest University" "WFU"
"Williams College" "Williams"
"Western Illinois University" "WIU"
"Western Kentucky University" "WKU"
"Western Michigan University" "WMU"
"Worcester Polytechnic Institute" "WPI"
"West Texas A&M University" "WTAMU"
"West Virginia University" "WVU"
"West Virginia University at Parkersburg" "WVUP"
"Western Washington University" "WWU"
"Xavier University " "XU"
"Xavier University of Louisiana" "XULA"
"Brigham Young University" "The Y"
"Youngstown State University" "YSU"
"Yeshiva University" "YU"
"Stanford University" "Stanford"
"Harvard University" "Harvard"
"Yale University" "Yale"
"Rice University" "Rice"
"University of Texas at Austin" "UT Austin"
"University of Texas at Austin" "UT-Austin"
"University of Texas at Austin" "UTAustin"
"University of Minnesota" "UMN"
"University of Minnesota" "Minnesota"
"Princeton University" "Princeton"
"McGill University" "McGill"
"Southern Institute of Technology" "SIT"
"Dartmouth College" "Dartmouth"
"NYU Tandon School of Engineering" "NYU-POLY"
"NYU Tandon School of Engineering" "NYU Tandon"
"NYU Tandon School of Engineering" "NYU-Tandon"
"NYU Tandon School of Engineering" "NYU Poly"
"Clemson University" "Clemson"
"Stony Brook University" "Stony Brook"
"Stony Brook University" "SBUY"
"Stony Brook University" "SBU"
"State University of New York at Stony Brook" "SUNY-SB"
"Vanderbilt University" "Vanderbilt"
"Brandeis University" "Brandeis"
"Northwestern University" "Northwestern"
"Emory University" "Emory"
"Lehigh University" "Lehigh"
"New Jersey Institute of Technology" "NJIT"
"University at Buffalo" "Buffalo"
"University at Buffalo" "SUNY-Buffalo"
"University at Buffalo" "SUNY Buffalo"
"University at Buffalo" "UB"
"Boston University" "BU"
"Boston University" "Boston U"
"The University of Texas at Dallas" "UT Dallas"
"The University of Texas at Dallas" "UTDallas"
"CMU Silicon Valley" "CMU-SV"
"University of Colorado Boulder" "CU Boulder"
"Georgia Tech" "GIT"
"Drexel University" "Drexel"
"Tufts University" "Tufts"
"University of British Columbia" "UBC"
"The University of Tennessee, Knoxville" "UTK"
"Iowa State University" "ISU"
"University of Alberta" "Alberta"

