index_origin,author,time,toefl,gre_total,gre_v,gre_q,gre_aw,district,season,type,offertype,major_school_apply,major_school,gpa,graduated,gre_raw,gre_sub,extrainfo,college_apply,major_apply,college_before,major_before,cross,gpa_measure,rl,intern,research,paper,first,sci,exchange
7341,beir8,17,94,318,148,170,, 美国,Fall,MS,AD无奖,CS@CS@WPI, 信息安全 @ HIT,92,,318(148+170),, 无论文、实验室打杂水经历,WPI,CS, HIT,信息安全,0,100,0,0,0,0,-1,-1,0
7344,Ginger要去美国啦,17,84,317,,,, 美国,Fall,MS,Rej,EE@WUSTL, EE @ ,3.2,,317,,,WUSTL,EE, ,EE,1,4,0,0,0,0,0,0,0
7347,sheolee,17,105,325,,,3.5, 美国,Fall,MS,AD无奖,CS@cmu,  @ bupt,NA,,325（3.5）,,,cmu,CS, bupt,,0,NA,0,0,0,0,0,0,0
7349,MaxLee1994,17,111,325,155,170,4, 美国,Fall,MS,AD小奖,CS@UVA, SE @ NJU,2.77,,155 170 4,,,UVA,CS, NJU,SE,0,4,0,0,0,0,0,0,0
7351,Larryang94,17,100,321,,,, 美国,Fall,MS,AD无奖,EE@Upenn, EE @ ,3.82,,321,,,Upenn,EE, ,EE,1,4,0,0,0,0,0,0,0
7352,380898815,17,101,318,151,167,3.5, 美国,Fall,MS,AD无奖,EE@Brown,  @ 中国科学技术大学,3.14,,318,, 一封加拿大滑铁卢ece较强推 两封科大老师推荐信,Brown,EE, 中国科学技术大学,,0,4,0,0,0,0,0,0,0
7353,rbdtc,17,95,327,,,, 美国,Fall,MS,AD无奖,CS@ASU, 网络工程 @ ,3.09,":  @ , GPA  : ",327,,,ASU,CS, ,网络工程,0,4,0,0,0,0,0,0,0
7355,LEENO,17,90,311,,,3, 美国,Fall,MS,AD小奖,CS@RIT, 信息工程 @ 北邮,2.7,,311+3,," 实验室水实习（无paper),金山半年实习",RIT,CS, 北邮,信息工程,0,4,0,1,0,0,-1,-1,0
7357,Figurative,17,109,328,160,168,4, 美国,Fall,MS,AD无奖,CS@bic@cmu, 电信工程及管理 @ BUPT,90.78,,V160+Q168+AW4,,无牛推，THU科研，3篇二作submitted,cmu,CS, BUPT,电信工程及管理,0,100,0,0,1,1,0,0,0
7362,play900325,17,102,314,,,, 美国,Fall,MS,AD无奖,CS@ISU, 化学 @ ,NA,": 化学 @ , GPA  3.94/4.0: 海外",314,,,ISU,CS, ,化学,0,NA,0,0,0,0,0,0,0
7367,Figurative,17,109,328,160,168,4, 美国,Fall,MS,AD无奖,CS@ini@cmu, 电信工程及管理 @ BUPT,90.78,,V160+Q168+AW4,,无牛推，THU科研，3篇二作submitted,cmu,CS, BUPT,电信工程及管理,0,100,0,0,1,1,0,0,0
7370,Eros.C,17,107,329,159,170,, 美国,Fall,MS,AD无奖,CS@CMU, SE @ ,3.6,,329 (159+170+3.5),,,CMU,CS, ,SE,0,4,0,0,0,0,0,0,0
